"probset.ids","gene.names"
"X1007_s_at","DDR1 /// MIR4640"
"X1053_at","RFC2"
"X117_at","HSPA6"
"X121_at","PAX8"
"X1255_g_at","GUCA1A"
"X1294_at","MIR5193 /// UBA7"
"X1316_at","THRA"
"X1320_at","PTPN21"
"X1405_i_at","CCL5"
"X1431_at","CYP2E1"
"X1438_at","EPHB3"
"X1487_at","ESRRA"
"X1494_f_at","CYP2A6"
"X1552256_a_at","SCARB1"
"X1552257_a_at","TTLL12"
"X1552258_at","LINC00152 /// LOC101930489"
"X1552261_at","WFDC2"
"X1552263_at","MAPK1"
"X1552264_a_at","MAPK1"
"X1552266_at","ADAM32"
"X1552269_at","SPATA17"
"X1552271_at","PRR22"
"X1552272_a_at","PRR22"
"X1552274_at","PXK"
"X1552275_s_at","PXK"
"X1552276_a_at","VPS18"
"X1552277_a_at","MSANTD3"
"X1552278_a_at","SLC46A1"
"X1552279_a_at","SLC46A1"
"X1552280_at","TIMD4"
"X1552281_at","SLC39A5"
"X1552283_s_at","ZDHHC11 /// ZDHHC11B"
"X1552286_at","ATP6V1E2"
"X1552287_s_at","AFG3L1P"
"X1552288_at","CILP2"
"X1552289_a_at","CILP2"
"X1552291_at","PIGX"
"X1552293_at","TMEM196"
"X1552295_a_at","SLC39A13"
"X1552296_at","BEST4"
"X1552299_at","AK9"
"X1552301_a_at","CORO6"
"X1552302_at","TMEM106A"
"X1552303_a_at","TMEM106A"
"X1552304_at","ALG10"
"X1552306_at","ALG10"
"X1552307_a_at","TTC39C"
"X1552309_a_at","NEXN"
"X1552310_at","C15orf40"
"X1552311_a_at","RAX2"
"X1552312_a_at","MFAP3"
"X1552314_a_at","EYA3"
"X1552315_at","GIMAP1"
"X1552316_a_at","GIMAP1"
"X1552318_at","GIMAP1"
"X1552319_a_at","KLK8"
"X1552320_a_at","CCDC65"
"X1552321_a_at","CCDC65"
"X1552322_at","FAM122C"
"X1552323_s_at","FAM122C"
"X1552325_at","CCDC11"
"X1552326_a_at","CCDC11"
"X1552327_at","ARMCX4"
"X1552329_at","RBBP6"
"X1552330_at","CENPBD1"
"X1552332_at","TRIOBP"
"X1552334_at","TRIOBP"
"X1552335_at","CATSPER1"
"X1552337_s_at","HOXD4"
"X1552338_at","GSC"
"X1552340_at","SP7"
"X1552343_s_at","PDE7A"
"X1552344_s_at","CNOT7"
"X1552347_at","CRYZL1"
"X1552348_at","PRSS33"
"X1552349_a_at","PRSS33"
"X1552354_at","C19orf26"
"X1552355_s_at","C19orf26"
"X1552359_at","MCMDC2"
"X1552360_a_at","TIRAP"
"X1552362_a_at","LEAP2"
"X1552364_s_at","MSI2"
"X1552365_at","SCIN"
"X1552367_a_at","SCIN"
"X1552368_at","CTCFL"
"X1552370_at","C4orf33"
"X1552372_at","C4orf33"
"X1552373_s_at","C4orf33"
"X1552375_at","ZNF333"
"X1552377_s_at","TVP23C"
"X1552378_s_at","RDH10"
"X1552379_at","RDH10"
"X1552381_at","SRSF12"
"X1552383_at","FAM71A"
"X1552384_a_at","FAM71A"
"X1552386_at","GAPT"
"X1552388_at","FLJ30901 /// SCUBE1"
"X1552389_at","ERICH5"
"X1552390_a_at","ERICH5"
"X1552391_at","CCDC185"
"X1552393_at","ENTHD1"
"X1552394_a_at","ENTHD1"
"X1552395_at","TSSK3"
"X1552396_at","WFDC6"
"X1552398_a_at","CLEC12A"
"X1552399_a_at","BRF1"
"X1552400_a_at","C15orf27"
"X1552401_a_at","BACH1 /// GRIK1-AS2"
"X1552402_at","CALML6"
"X1552405_at","NLRP5"
"X1552408_at","ODF4"
"X1552409_a_at","ODF4"
"X1552410_at","CLEC4F"
"X1552411_at","DEFB106A /// DEFB106B"
"X1552412_a_at","DEFB106A /// DEFB106B"
"X1552414_at","WFDC9"
"X1552415_a_at","WFDC9"
"X1552417_a_at","NEDD1"
"X1552418_at","TTLL10"
"X1552419_s_at","TTLL10"
"X1552421_a_at","CALR3"
"X1552422_at","C10orf25"
"X1552423_at","ETV3"
"X1552424_at","KLHL10"
"X1552425_a_at","KLHL10"
"X1552426_a_at","TM2D3"
"X1552427_at","ZNF485"
"X1552430_at","WDR17"
"X1552432_at","MFSD6L"
"X1552436_a_at","CDH23 /// LOC100653137"
"X1552438_a_at","ANKAR"
"X1552439_s_at","MEGF11"
"X1552440_at","GPR182"
"X1552445_a_at","ESX1"
"X1552448_a_at","C8orf12"
"X1552449_a_at","LOC653486 /// SCGB1C1"
"X1552450_a_at","DNAJC5G"
"X1552452_at","WDR88"
"X1552453_a_at","WDR88"
"X1552455_at","PRUNE2"
"X1552456_a_at","MBD3L2"
"X1552457_a_at","ADAMTSL1"
"X1552458_at","MBD3L1"
"X1552459_a_at","MBD3L1"
"X1552461_at","FAM46D"
"X1552463_at","SERPINB11"
"X1552466_x_at","LINC00161"
"X1552467_at","DSCR10"
"X1552468_a_at","DSCR10"
"X1552470_a_at","ABHD11"
"X1552472_a_at","ACAP2"
"X1552473_at","GAMT"
"X1552474_a_at","GAMT"
"X1552476_s_at","PLCD3"
"X1552477_a_at","IRF6"
"X1552478_a_at","IRF6"
"X1552480_s_at","PTPRC"
"X1552481_s_at","MAN1A2"
"X1552482_at","RAPH1"
"X1552484_at","SMCR8"
"X1552485_at","LACTB"
"X1552486_s_at","LACTB"
"X1552487_a_at","BNC1"
"X1552489_s_at","MPP4"
"X1552490_at","LACE1"
"X1552491_at","IDI2"
"X1552493_s_at","CYP11B1"
"X1552494_at","TAF8"
"X1552496_a_at","COBL"
"X1552497_a_at","SLAMF6"
"X1552498_at","ZSCAN20"
"X1552499_a_at","ZSCAN20"
"X1552501_a_at","GPBAR1"
"X1552502_s_at","RHBDL2"
"X1552503_at","FRAS1"
"X1552504_a_at","BRSK1"
"X1552506_at","CRB2"
"X1552507_at","KCNE4"
"X1552508_at","KCNE4"
"X1552509_a_at","CD300LG"
"X1552510_at","SLC34A3"
"X1552511_a_at","CPA6"
"X1552514_at","WBP2NL"
"X1552515_at","HIPK1"
"X1552516_a_at","HIPK1"
"X1552518_s_at","MTBP"
"X1552519_at","ACVR1C"
"X1552520_at","TMEM74"
"X1552521_a_at","TMEM74"
"X1552522_at","TIGD4"
"X1552523_a_at","TIGD4"
"X1552524_at","ART5"
"X1552526_at","FAM71C"
"X1552528_at","C21orf67"
"X1552531_a_at","NLRP11"
"X1552532_a_at","ATP6V1C2"
"X1552535_at","CLDN19"
"X1552536_at","VTI1A"
"X1552538_a_at","KIF6"
"X1552540_s_at","IQCD"
"X1552541_at","TAGAP"
"X1552542_s_at","TAGAP"
"X1552543_a_at","STON2"
"X1552544_at","SERPINA12"
"X1552546_a_at","LETM2"
"X1552548_at","BSND"
"X1552549_a_at","BSND"
"X1552552_s_at","CLEC4C"
"X1552553_a_at","NLRC4"
"X1552554_a_at","NLRC4"
"X1552555_at","PRSS36"
"X1552557_a_at","ZDHHC15"
"X1552558_a_at","RAI1"
"X1552559_a_at","CDK15"
"X1552562_at","ZNF570"
"X1552563_a_at","AF131215.4"
"X1552564_at","NUDT9P1"
"X1552566_at","BTBD16"
"X1552568_at","RTP3"
"X1552569_a_at","RTP3"
"X1552570_at","TSPEAR"
"X1552572_a_at","MIPOL1"
"X1552573_s_at","MIPOL1"
"X1552575_a_at","C6orf141"
"X1552576_at","ALMS1P"
"X1552578_a_at","MYO3B"
"X1552579_a_at","ADAM21"
"X1552580_at","TRIML2"
"X1552582_at","ABCC13"
"X1552583_s_at","ABCC13"
"X1552584_at","IL12RB1"
"X1552585_s_at","GTF2A1L"
"X1552586_at","TRPV3"
"X1552587_at","CNBD1"
"X1552588_a_at","CNBD1"
"X1552590_a_at","ABCC12"
"X1552592_at","MMP21"
"X1552594_at","TMEM190"
"X1552596_at","GAS2L2"
"X1552598_at","KCNG4"
"X1552599_at","PXT1"
"X1552602_at","CACNG5"
"X1552604_at","LINC00308"
"X1552605_s_at","LINC00308"
"X1552607_at","FAM223A /// FAM223B"
"X1552608_at","WFDC11"
"X1552609_s_at","IFNL2 /// IFNL3"
"X1552610_a_at","JAK1"
"X1552611_a_at","JAK1"
"X1552612_at","CDC42SE2"
"X1552613_s_at","CDC42SE2"
"X1552615_at","ACACB"
"X1552616_a_at","ACACB"
"X1552617_a_at","RFWD2"
"X1552618_at","STX6"
"X1552619_a_at","ANLN"
"X1552620_at","SPRR4"
"X1552621_at","POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL"
"X1552622_s_at","LOC441259 /// POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL"
"X1552623_at","HSH2D"
"X1552625_a_at","TRNT1"
"X1552626_a_at","TMEM163"
"X1552627_a_at","ARHGAP5"
"X1552628_a_at","HERPUD2"
"X1552629_a_at","JMJD6"
"X1552630_a_at","SRCAP"
"X1552631_a_at","MAP3K6"
"X1552632_a_at","ARSG"
"X1552633_at","ZNF101"
"X1552634_a_at","ZNF101"
"X1552637_at","PTPN11"
"X1552639_at","KLHDC7B"
"X1552641_s_at","ATAD3A /// ATAD3B"
"X1552643_at","ZNF626"
"X1552644_a_at","PHC3"
"X1552646_at","IL11RA"
"X1552648_a_at","TNFRSF10A"
"X1552649_a_at","RAD51L3-RFFL /// RFFL"
"X1552651_a_at","RAD51L3-RFFL /// RFFL"
"X1552652_at","HPS4"
"X1552656_s_at","UHMK1"
"X1552657_a_at","TXNDC2"
"X1552658_a_at","NAV3"
"X1552660_a_at","C5orf22"
"X1552661_at","PCDHGB7"
"X1552662_a_at","PCDHGB7"
"X1552663_a_at","ERC1"
